Data ID,Classification,Confidence Score,Detailed Justification
D3933,Malicious,0.94,Email exhibits critical security threat with very high sender malicious score (0.93) and urgent callback request pattern. High reply path reputation issues (0.90) combined with macro detection (0.66) and authentication failures (SPF pass, DKIM policy, DMARC fail) indicate sophisticated business email compromise requiring immediate blocking.
D3934,Malicious,0.88,Email exhibits critical security threat with high sender malicious score (0.76), very high metadata suspicious score (0.92), and high exfiltration behavior (0.78). High behavioral sandbox score (0.49) with authentication failures indicate active data theft malware requiring immediate blocking.
D3935,Malicious,0.78,Email exhibits serious security threat with link click request pattern and 1 malicious component detected. Despite low sender malicious score, confirmed malicious component indicates active phishing campaign requiring immediate blocking.
D3936,Malicious,0.91,Email exhibits critical security threat with very high sender malicious score (0.92) and exploit pattern detection. Very high behavioral sandbox score (0.91) with high macro detection (0.45) and embedded files indicate active malware requiring immediate blocking.
D3937,Malicious,0.85,Email exhibits serious security threat with very high sender malicious score (0.94), wire transfer request pattern, and metadata suspicious score (0.28). High macro detection (0.71) with 4 malicious components detected indicate sophisticated financial fraud requiring immediate blocking.
D3938,Spam,0.76,Email exhibits spam characteristics with wire transfer request, high temp email likelihood (0.72), and user marked as spam before. Mixed authentication (SPF softfail, DKIM none, DMARC fail) with moderate spam score (0.04) indicate bulk financial scam requiring filtering.
D3939,No Action,0.42,Email appears to have low security risk with low sender malicious score (0.17) and minimal threat indicators. Despite gift card request pattern, very low spam score and good URL reputation suggest legitimate business communication requiring standard verification procedures.
D3940,Malicious,0.83,Email exhibits serious security threat with packer detection and YARA rule matches (6). High metadata suspicious score (0.35) with embedded files despite good SPF authentication indicate confirmed malware requiring immediate blocking.
D3941,Malicious,0.82,Email exhibits serious security threat with return path mismatch and 5 malicious components detected. High visual similarity to known brand with confirmed malicious components indicates sophisticated impersonation attack requiring immediate blocking.
D3942,No Action,0.38,Email appears legitimate with low sender malicious score (0.27) and invoice verification request pattern. Good authentication (SPF pass, DKIM policy, DMARC temperror) and minimal threat indicators suggest standard business communication requiring no special security measures.
