Data,sender_known_malicios,sender_domain_reputation_score,sender_spoof_detected,sender_temp_email_likelihood,dmarc_enforced,packer_detected,any_file_hash_malicious,max_metadata_suspicious_score,malicious_attachment_count,has_executable_attachment,unscannable_attachment_present,total_yara_match_count,total_ioc_count,max_behavioral_sandbox_score,max_amsi_suspicion_score,any_macro_enabled_document,any_vbscript_javascript_detected,any_active_x_objects_detected,any_network_call_on_open,max_exfiltration_behavior_score,any_exploit_pattern_detected,total_embedded_file_count,max_suspicious_string_entropy_score,max_sandbox_execution_time,unique_parent_process_names,return_path_mismatch_with_from,return_path_known_malicious,return_path_reputation_score,reply_path_known_malicious,reply_path_diff_from_sender,reply_path_reputation_score,smtp_ip_known_malicious,smtp_ip_geo,smtp_ip_asn,smtp_ip_reputation_score,domain_known_malicious,url_Count,dns_morphing_detected,domain_tech_stack_match_score,is_high_risk_role_targeted,sender_name_similarity_to_vip,urgency_keywords_present,request_type,content_spam_score,user_marked_as_spam_before,bulk_message_indicator,unsubscribe_link_present,marketing_keywords_detected,html_text_ratio,image_only_email,spf_result,dkim_result,dmarc_result,reverse_dns_valid,tls_version,total_links_detected,url_shortener_detected,url_redirect_chain_length,final_url_known_malicious,url_decoded_spoof_detected,url_reputation_score,ssl_validity_status,site_visual_similarity_to_known_brand,url_rendering_behavior_score,link_rewritten_through_redirector,token_validation_success,Analysis_of_the_qrcode_if_present,total_components_detected_malicious
D4433,0.9529906226,0.0359341869,0,0.0041260365,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.4054208396,0.6281141495,0.4875484435,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0001359684,0.6790022832,0,4e-10,0,0.0653516904,1.3602e-06,2.2742e-06,0,0,0,1.0,0,0.839156381,0.4326075226,vpn_or_mfa_reset,6.87209e-05,0,0,1,0,0.0,0,fail,policy,none,1,TLS 1.3,0,0,0,0,0,0.016783858,self signed,0.2414287635,0.0794175243,0,1,0,0
D4434,0.5332776344,1.51024e-05,0,0.0009172024,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.5549372652,0.3040411787,0.2424914468,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0001080785,0.4313787242,0,0.0283576001,0,0.0016339737,0.001398669,7.50517e-05,0,0,0,1.0,0,0.9620618484,0.6886116447,none,1.44637e-05,0,0,0,0,0.0,0,fail,fail,none,1,TLS 1.3,0,0,2,0,0,0.1822374782,self signed,0.0140998002,0.0049603642,0,1,0,0
D4435,0.4767915637,8e-10,0,0.0006787664,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.6989173621,0.2694698677,0.2772368956,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0024035356,0.137964709,0,0.0291898588,1,0.0002242579,0.2133723293,0.3178839843,0,0,0,1.0,0,6.41518e-05,0.1696902892,meeting_request,9.6328e-06,0,0,1,0,0.0,0,fail,policy,permerror,1,TLS 1.2,1,0,0,0,0,0.0018665645,expired,1.5000000000000002e-08,4.5126621189999995e-17,0,1,0,0
D4436,0.8587975120000001,0.0001379773,0,0.1502790898,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.1882368393,0.8628599096,0.3411804154,0,0.0,0,0,0,0.0,"[""""]",0,1,2.723e-07,0.7695171555,0,4.124e-07,0,0.1354555898,1.04902e-05,0.0187436714,0,0,0,1.0,0,0.0001591287,0.7164479149,bank_detail_update,0.000937929,0,0,0,0,0.0,0,pass,none,pass,1,TLS 1.1,0,0,0,0,0,2.0211947069999998e-16,valid,3.1866e-06,0.1306176944,0,1,0,2
D4437,0.9142764626,0.0005706876,0,0.7398890684,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.7387430953,0.4430764157,0.4062542745,0,0.0,0,0,0,0.0,"[""""]",0,0,9.363e-06,0.0901289141,0,0.0002335882,0,0.0020365545,0.008119368,0.9414112611,0,0,0,1.0,0,0.0129058379,0.5457788072,invoice_verification,0.0707379342,0,0,0,0,0.0,0,fail,fail,temperror,1,TLS 1.3,0,0,0,0,0,5e-10,self signed,0.0,2.1175e-06,0,1,0,2
D4438,0.6695103814000001,5.40412e-05,0,0.1420583244,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.2400191679,0.0246832325,0.4594175092,0,0.0,0,0,0,0.0,"[""""]",0,0,0.6909014209000001,0.7766435878,0,1.6802e-06,0,1.28e-07,0.0884013283,0.1956451099,0,0,0,1.0,0,0.0007123038,0.4011414352,none,7.5088e-06,0,0,0,0,0.0,0,fail,neutral,fail,1,TLS 1.2,0,0,0,0,0,0.3302352595,mismatch,9.939354868999998e-16,0.0239187007,0,1,0,1
D4439,0.6916681906000001,0.0452204013,0,0.0047386204,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.7065684597,0.2716978294,0.6675218369,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0225387202,0.3161717647,0,0.4771364223,0,0.2623031304,0.0039626637,6e-10,0,0,0,1.0,0,0.0026683551,0.4316668024,bank_detail_update,0.0001574681,0,0,0,0,0.0,0,pass,none,pass,1,TLS 1.2,0,0,0,0,0,0.1035796047,valid,0.0031710394,2.08e-08,0,1,0,0
D4440,0.0515254774,0.5480369620000001,0,0.1712788713,0,0,0,8.83571e-05,0,0,0,0,2,1.086e-07,0.0003703193,0.9273793387,0.0471662933,0.0652905399,0,0.3395906867,0,3,4,0.0,"[""""]",0,0,0.0915213524,0.3908404104,0,3.41125e-05,0,4.7462e-06,0.3955329465,0.0014138193,0,0,0,0.5,0,0.7462688071,0.5137086261,gift_card_request,0.0,0,0,0,0,0.0,0,pass,neutral,pass,1,TLS 1.2,1,0,0,0,0,5e-10,self signed,0.0008100328,0.0011165145,0,1,0,0
D4441,0.9324625426,0.3866465246,0,1.0195e-05,0,1,0,0.9587267268,0,1,0,0,0,0.2042818802,0.2546899229,0.2796490634,0.965849879,0.012001864,0,0.5978574497,0,4,4,3.411107575e-151,"[""""]",0,0,0.0022987437,0.1012159027,0,2.5e-09,0,8.195e-07,0.104555291,0.0,0,0,0,1.0,0,0.0008778195,0.965193552,none,0.011099805,0,0,0,0,0.0,0,pass,pass,fail,1,TLS 1.2,2,0,0,0,0,8.1936e-06,valid,1.10262e-05,0.0010420283,0,1,0,1
D4442,0.7162812588,0.0200458782,0,3.4956e-06,0,0,0,0.5150584533,0,0,0,0,0,0.8656949141,0.0547264968,0.5332146291000001,0.1104169294,0.5943959212000001,0,0.1591586507,0,4,4,8.818701632e-53,"[""""]",1,0,0.000343697,0.9061555275,0,0.0007432812,0,0.6459505998,3.523e-07,0.0042879629,0,0,0,1.0,0,6.983e-07,0.7171812948,none,0.1206851496,0,0,0,0,0.0,0,fail,pass,temperror,1,TLS 1.0,4,0,0,0,0,0.2889486397,valid,0.1162782024,0.3549939397,0,1,0,3
