Data ID,Classification,Confidence Score,Detailed Justification
D5233,Malicious,0.94,Gift card request with very high sender maliciousness (0.94) and high URL rendering behavior (0.79). Gift card fraud from confirmed malicious sender requires immediate blocking.
D5234,Spam,0.82,Wire transfer request with high spam content (0.51) and unsubscribe link present. Low sender maliciousness (0.12) suggests bulk spam rather than targeted fraud.
D5235,Malicious,0.91,Document download with very high sender maliciousness (0.89) and high exfiltration behavior (0.73). High VIP similarity (0.90) confirms executive impersonation for malware delivery.
D5236,Malicious,0.93,Very high sender maliciousness (0.94) with return path mismatch and high SMTP IP reputation score (0.97). Confirmed malicious actor requiring immediate blocking.
D5237,Warning,0.77,Sensitive data request with low sender maliciousness (0.24) but DMARC enforced and high VIP similarity (0.48). Data requests require verification despite mixed signals.
D5238,Warning,0.81,Meeting request with moderate sender maliciousness (0.44) and high metadata suspicious score (0.81). High AMSI score (0.67) and reply path known malicious require verification.
D5239,Warning,0.76,YARA rule matches (5) with certificate mismatch but very low sender maliciousness (0.03). Domain known malicious but low sender score requires verification.
D5240,Malicious,0.88,High sender maliciousness (0.81) with return path mismatch and self-signed SSL certificate. High SMTP IP reputation score (0.70) confirms malicious actor.
D5241,Malicious,0.87,Legal threat with high sender maliciousness (0.51) and unscannable attachment. Revoked SSL certificate with high URL rendering behavior (0.84) confirms attack.
D5242,Malicious,0.86,Link click request with high sender maliciousness (0.68) and high exfiltration behavior (0.63). High site visual similarity (0.64) confirms phishing attack.
D5243,Warning,0.76,Bank detail update request with low sender maliciousness (0.15) but high VIP similarity (0.62). Banking requests with authentication anomalies require verification.
D5244,Malicious,0.88,VPN/MFA reset request with high sender maliciousness (0.54) and very high metadata suspicious score (0.90). High script presence (0.81) confirms security bypass attack.
D5245,Warning,0.79,High temporary email likelihood (0.84) with URL count (3) but moderate sender maliciousness (0.33). Multiple threat indicators require verification.
D5246,Warning,0.80,Legal threat with low sender maliciousness (0.28) but high metadata suspicious score (0.53) and URL shortener detected. Legal threats require verification.
D5247,Malicious,0.92,Link click request with very high sender maliciousness (0.90) and extreme URL rendering behavior (0.97). Failed SPF/DKIM confirms malicious link campaign.
D5248,Malicious,0.83,Bank detail update request with failed DMARC and self-signed SSL certificate. Link rewritten through redirector confirms banking fraud with spoofing.
D5249,Malicious,0.86,VPN/MFA reset request with high sender maliciousness (0.62) and high exfiltration behavior (0.84). Failed SPF authentication confirms security bypass attempt.
D5250,Spam,0.80,Bank detail update request with user marked as spam and low sender maliciousness (0.24). Failed authentication with spam indicators suggests bulk campaign rather than targeted fraud.
D5251,Malicious,0.90,VPN/MFA reset request with high sender maliciousness (0.71) and malicious attachment count (1). Self-signed SSL with extreme site visual similarity (0.95) confirms attack.
D5252,Warning,0.81,High AMSI score (0.66) and high exfiltration behavior (0.71) but moderate sender maliciousness (0.42). Technical indicators require verification.
