Data,Classification,Confidence_Score,Detailed_Justification
D6083,No Action,0.81,"Low-risk communication with infrastructure variations: No explicit request type (none), return_path_mismatch_with_from (1) for routing, minimal threat indicators across all 68 signals, moderate smtp infrastructure scores, high urgency_keywords_present (0.758) likely business urgency, good authentication baseline (SPF pass, DKIM neutral, DMARC pass) - standard business communication"
D6084,Warning,0.75,"Sensitive data request with minimal direct threats: sensitive_data_request type targeting confidential information, very high smtp_ip_reputation_score (0.955) indicating infrastructure concerns, very high urgency_keywords_present (0.659), authentication failures (DKIM fail) but minimal behavioral scores - sensitive nature warrants monitoring despite low threat indicators"
D6085,Warning,0.84,"Meeting request with high behavioral activity: meeting_request type potentially used for social engineering, DMARC enforced (1), very high max_behavioral_sandbox_score (0.687) and exfiltration_behavior_score (0.981) showing extensive data access potential, winword.exe execution, reply_path_known_malicious (1), very high smtp_ip_geo (0.607) - sophisticated meeting-based social engineering requiring investigation"
D6086,Warning,0.79,"Communication with malicious file hash: No explicit request type (none), any_file_hash_malicious (1) confirming known malware signature, moderate max_metadata_suspicious_score (0.165) and exfiltration_behavior_score (0.259), winword.exe execution, is_high_risk_role_targeted (1), authentication failures - requires investigation for potential malware"
D6087,No Action,0.80,"Low-risk communication despite infrastructure anomalies: No explicit request type (none), very high smtp_ip_geo (0.864) noted but minimal threat indicators across other categories, self-signed SSL certificate, authentication failures but overall benign behavioral profile suggests legitimate communication with infrastructure variations"
D6088,Warning,0.82,"Legal threat with high infrastructure risk: legal_threat request type using intimidation tactics, embedded files (2), very high smtp_ip_geo (0.790) and urgency_keywords_present (0.233), high content_spam_score (0.275), domain_tech_stack_match_score (1.0), authentication failures (DMARC fail) - legal intimidation requiring investigation"
D6089,Warning,0.86,"Link click with script content and domain spoofing: link_click request type directing users to external sites, any_file_hash_malicious (1) and any_vbscript_javascript_detected (1) providing known malware and script execution, high max_behavioral_sandbox_score (0.296) and max_amsi_suspicion_score (0.466), very high exfiltration_behavior_score (0.719), acrobat.exe execution, dns_morphing_detected (1), very high urgency_keywords_present (0.916) - sophisticated multi-vector attack"
D6090,Warning,0.73,"Bank detail update with minimal direct threats: bank_detail_update request type commonly used in financial fraud, minimal behavioral scores but financial nature warrants caution, high smtp_ip_geo (0.176) risk score, authentication failures but financial request type requires monitoring despite low threat indicators"
D6091,Warning,0.81,"VPN/MFA reset with behavioral concerns: vpn_or_mfa_reset request type targeting security credentials, high max_metadata_suspicious_score (0.234), high max_behavioral_sandbox_score (0.224) and very high exfiltration_behavior_score (0.792), winword.exe and powershell.exe execution, revoked SSL certificate, very high urgency_keywords_present (0.781) - credential harvesting attempt requiring investigation"
D6092,Warning,0.82,"Wire transfer with infrastructure compromise: wire_transfer request type indicating financial fraud, moderate max_metadata_suspicious_score (0.158) and exfiltration_behavior_score (0.447), winword.exe execution, smtp_ip_known_malicious (1), domain_tech_stack_match_score (1.0), high content_spam_score (0.122), image_only_email (1), self-signed SSL certificate - financial fraud with compromised infrastructure"
D6093,Warning,0.84,"Document download with high spam characteristics: document_download request type, high max_metadata_suspicious_score (0.420) indicating file manipulation, winword.exe execution, unsubscribe_link (1), very high content_spam_score (0.714) indicating bulk nature, domain_tech_stack_match_score (1.0), authentication failures - bulk document distribution requiring investigation"
D6094,Spam,0.88,"High-reputation sender with bulk characteristics: No explicit request type (none), very high sender_domain_reputation (0.598) but massive content_spam_score (0.882) indicating bulk marketing content, domain_tech_stack_match_score (1.0), good authentication (SPF pass, DMARC pass) - legitimate sender conducting bulk marketing"
D6095,Warning,0.72,"Sensitive data request with infrastructure concerns: sensitive_data_request type targeting confidential information, high smtp_ip_geo (0.317) risk score, revoked SSL certificate, very high urgency_keywords_present (0.593), minimal behavioral scores but sensitive data targeting with infrastructure anomalies warrants monitoring"
D6096,Warning,0.80,"Meeting request with high disposable email usage: meeting_request type potentially used for social engineering, very high sender_temp_email_likelihood (0.535) indicating disposable email usage, moderate max_metadata_suspicious_score (0.059) and exfiltration_behavior_score (0.431), winword.exe execution, embedded file (1), bulk_message_indicator (1), authentication failures - meeting-based social engineering"
D6097,Warning,0.83,"Communication with YARA matches and high spam content: No explicit request type (none), 2 YARA rule matches indicating known suspicious patterns, embedded files (4), winword.exe execution, very high return_path_reputation_score (0.607) and content_spam_score (0.649), SSL certificate mismatch, very high urgency_keywords_present (0.726) - suspicious patterns requiring investigation"
D6098,No Action,0.83,"High-reputation legitimate communication: No explicit request type (none), very high sender_domain_reputation (0.852) confirming trusted source, minimal threat indicators across all categories, good authentication (SPF pass), moderate content_spam_score (0.043) within normal range, overall legitimate profile"
D6099,Warning,0.82,"Legal threat with high behavioral activity: legal_threat request type using intimidation tactics, any_vbscript_javascript_detected (1) providing script-based code execution, high max_behavioral_sandbox_score (0.402) and very high exfiltration_behavior_score (0.748), outlook.exe execution, return_path_known_malicious (1), very high smtp_ip_geo (0.455), expired SSL certificate - script-based legal threat"
D6100,Warning,0.85,"Link click with high disposable email usage: link_click request type directing users to external sites, very high sender_temp_email_likelihood (0.722) indicating disposable email usage, return_path_mismatch_with_from (1), high max_amsi_suspicion_score (0.394), acrobat.exe execution, self-signed SSL certificate, very high urgency_keywords_present (0.885) - sophisticated link-based attack"
D6101,Spam,0.84,"Bank detail spam with high bulk characteristics: bank_detail_update request type in spam context, high content_spam_score (0.551) indicating bulk nature, very high url_reputation_score (0.859) and urgency_keywords_present (0.945), authentication failures but bulk characteristics predominant over financial fraud indicators"
D6102,Warning,0.82,"VPN/MFA reset with high infrastructure risk: vpn_or_mfa_reset request type targeting security credentials, high max_metadata_suspicious_score (0.585) indicating file manipulation, very high smtp_ip_geo (0.970) and exfiltration_behavior_score (0.616), winword.exe and powershell.exe execution, url_redirect_chain_length (2) - credential harvesting with compromised infrastructure"
D6103,Malicious,0.89,"Wire transfer fraud with confirmed threat indicators: wire_transfer request type indicating financial fraud, malicious_attachment_count (1) and any_exploit_pattern_detected (1) providing confirmed malicious components, high max_metadata_suspicious_score (0.452) and very high exfiltration_behavior_score (0.547), winword.exe execution, domain_known_malicious (1), is_high_risk_role_targeted (1) - confirmed financial fraud attack"
