Data ,sender_known_malicios,sender_domain_reputation_score,sender_spoof_detected,sender_temp_email_likelihood,dmarc_enforced,packer_detected,any_file_hash_malicious,max_metadata_suspicious_score,malicious_attachment_Count,has_executable_attachment,unscannable_attachment_present,total_yara_match_count,total_ioc_count,max_behavioral_sandbox_score,max_amsi_suspicion_score,any_macro_enabled_document,any_vbscript_javascript_detected,any_active_x_objects_detected,any_network_call_on_open,max_exfiltration_behavior_score,any_exploit_pattern_detected,total_embedded_file_count,max_suspicious_string_entropy_score,max_sandbox_execution_time,unique_parent_process_names,return_path_mismatch_with_from,return_path_known_malicious,return_path_reputation_score,reply_path_known_malicious,reply_path_diff_from_sender,reply_path_reputation_Score,smtp_ip_known_malicious,smtp_ip_geo,smtp_ip_asn,smtp_ip_reputation_score,domain_known_malicious,url_Count,dna_morphing_detected,domain_tech_stack_match_score,is_high_risk_role_targeted,sender_name_similarity_to_vip,urgency_keywords_present,request_type,content_spam_score,user_marked_as_spam_before,bulk_message_indicator,unsubscribe_link_present,marketing-keywords_detected,html_text_ratio,image_only_email,spf_result,dkim_result,dmarc_result,reverse_dns_valid,tls_version,total_links_detected,url_shortener_detected,url_redirect_chain_length,final_url_known_malicious,url_decoded_spoof_detected,url_reputation_score,ssl_validity_status,site_visual_similarity_to_known_brand,url_rendering_behavior_score,link_rewritten_through_redirector,token_validation_success,total_components_detected_malicious,unique_parent_process_names(categorical)
D6333,0,8.675695656126998e-08,0,0.0147818468982009,0,0,0,0.8468627518073691,0,0,0,0,0,0.0373398601238345,1.6509151474444668e-08,0,0,0,0,0.2662587993183952,0,0,4,90.3550322836237,"[""winword.exe"", ""powershell.exe"", ""regsvr32.exe""]",0,0,0.4731204478737775,0,0,0.0179076583571488,0,0.8337655007535261,0.006177639487284,0.0072839993299966,0,0,0,1.0,0,0.499862946744923,0.5686859,none,3.072865806704022e-11,0,0,0,0,0.0,0,softfail,neutral,fail,1,TLS 1.0,2,0,0,0,0,2.81834926346762e-07,valid,0.0003867940962485,0.0104246940897673,0,1,0,"[""""]"
D6334,0,0.0151245846197302,0,0.619161974472294,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,2.128565830201538e-05,0,0,0.04683728765747,0,0.0095539358809936,4.868575773469001e-06,1.879840010651288e-06,0,0,0,0.0,0,0.0300434863849248,0.7998763,wire_transfer,0.0259717047073962,0,0,0,0,0.0,0,pass,temperror,fail,1,TLS 1.3,0,0,0,0,0,3.54720964721087e-10,valid,0.7663387827172407,0.0008696436785859,0,1,0,"[""""]"
D6335,0,0.2121955317692823,0,2.8412027253720152e-06,1,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,1.7764994140565214e-16,0,0,0.0001225707533249,0,0.0158646423010551,0.0026585497531561,0.074941054238863,0,0,0,1.0,0,2.555097605821369e-07,0.6459891,none,0.0003213076594085,0,0,0,0,0.0,0,fail,fail,permerror,1,TLS 1.2,4,0,0,0,0,0.1632180884925167,self signed,0.0024769664744549,0.0459155572360185,0,1,0,"[""""]"
D6336,0,0.0395996822414757,0,0.5169241266632352,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.5607410002126685,0,0,0.8483692675414356,0,2.0061833457064645e-05,1.303627480835707e-06,1.7533531582180312e-24,0,0,0,1.0,0,0.0925481946022807,0.2639613,none,0.2286973489309413,0,0,0,0,0.0,0,pass,pass,pass,1,TLS 1.3,0,0,0,0,0,0.7790679526876902,valid,3.1526582721447404e-14,0.1250235662672477,1,1,0,"[""""]"
D6337,0,2.3878712543350302e-05,0,6.086653517086684e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0932988764541245,0,0,0.0365207102954387,0,0.0214527822619274,7.702757373444338e-09,0.0019881281489715,0,0,0,0.5,0,1.2874420890284423e-09,0.2293711,none,1.4674097732823815e-16,0,0,0,0,0.0,0,pass,neutral,temperror,1,SSL,1,0,0,0,0,0.0018827974389386,valid,1.853530614700497e-05,0.0814568884852575,0,1,0,"[""""]"
D6338,0,0.4475940682963137,0,0.0065909730432305,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",1,0,0.0109519100644706,0,0,1.850393870109294e-05,0,0.0008535251657368,0.4915922868164176,0.1005314264359649,0,0,0,1.0,0,0.0004892807479412,0.4555003,gift_card_request,0.5252821736566546,0,0,1,0,0.0,0,pass,policy,permerror,1,TLS 1.2,4,0,0,0,0,0.0085228018208305,valid,1.193913673567192e-06,0.0056660148987986,0,1,0,"[""""]"
D6339,0,0.0490445323273147,0,0.0002874354474393,0,0,0,0.0407155818441836,0,0,0,0,5,0.0892669319302641,0.8376983048103914,0,0,0,0,0.8120297999753673,0,0,6,1.4316022429144032e-05,"[""winword.exe""]",0,0,0.0001776350124714,0,0,1.176650467230132e-06,0,9.310788334223652e-05,6.3356626449350615e-06,0.0185864143047062,0,0,0,1.0,0,0.0016987117760511,0.1009113,wire_transfer,2.565141066716793e-11,0,0,0,0,0.0,0,pass,pass,fail,1,TLS 1.2,0,0,0,0,0,2.2918499829113186e-07,valid,1.6351929507339075e-05,0.0223800692007658,0,1,0,"[""""]"
D6340,0,0.708649097696361,0,1.1789839352136744e-17,0,0,0,0.0885919857447956,0,0,0,0,0,0.0514731159346606,0.0056911519266562,0,0,0,0,0.1235158995923228,0,0,4,7.54078483607017e-47,"[""winword.exe""]",0,0,0.0885141724006687,0,0,5.53665989050808e-06,0,0.3341723456075687,0.8308113790065402,0.0108275185159271,0,1,0,1.0,0,0.2620358131795497,0.0434746,document_download,0.0002137034594471,0,0,0,0,0.0,0,pass,fail,none,1,TLS 1.2,3,0,0,0,0,0.1357471989277996,valid,3.922070842406139e-06,0.0128957322380169,0,1,0,"[""""]"
D6341,0,0.8794527399671564,0,0.0141836844624935,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.2139711623129543,0,0,0.0558514834155719,1,2.694771073088682e-08,0.0070015855548991,0.1597037901623415,0,0,0,1.0,0,0.0003360242675051,0.9515275,none,0.1540467817244972,0,0,0,0,0.0,0,pass,none,pass,1,TLS 1.2,0,0,0,0,0,0.0051393559484024,expired,1.6390008975573417e-18,7.81862540169037e-10,0,1,0,"[""""]"
D6342,0,2.8106767232657803e-06,0,0.6545206425848834,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0493319116989986,0,0,0.0335774495186069,0,0.014413902947098,0.7362731953543794,4.738685687700128e-05,0,0,0,1.0,0,1.5680688296690617e-07,0.697609,sensitive_data_request,0.6959379627752693,0,0,0,0,0.0,0,pass,none,none,1,TLS 1.2,1,0,0,0,0,4.776984245886432e-08,valid,1.867475399196705e-06,0.8263829863721328,0,1,0,"[""""]"
