Data,sender_known_malicios,sender_domain_reputation_score,sender_spoof_detected,sender_temp_email_likelihood,dmarc_enforced,packer_detected,any_file_hash_malicious,max_metadata_suspicious_score,malicious_attachment_count,has_executable_attachment,unscannable_attachment_present,total_yara_match_count,total_ioc_count,max_behavioral_sandbox_score,max_amsi_suspicion_score,any_macro_enabled_document,any_vbscript_javascript_detected,any_active_x_objects_detected,any_network_call_on_open,max_exfiltration_behavior_score,any_exploit_pattern_detected,total_embedded_file_count,max_suspicious_string_entropy_score,max_sandbox_execution_time,unique_parent_process_names,return_path_mismatch_with_from,return_path_known_malicious,return_path_reputation_score,reply_path_known_malicious,reply_path_diff_from_sender,reply_path_reputation_score,smtp_ip_known_malicious,smtp_ip_geo,smtp_ip_asn,smtp_ip_reputation_score,domain_known_malicious,url_Count,dns_morphing_detected,domain_tech_stack_match_score,is_high_risk_role_targeted,sender_name_similarity_to_vip,urgency_keywords_present,request_type,content_spam_score,user_marked_as_spam_before,bulk_message_indicator,unsubscribe_link_present,marketing_keywords_detected,html_text_ratio,image_only_email,spf_result,dkim_result,dmarc_result,reverse_dns_valid,tls_version,total_links_detected,url_shortener_detected,url_redirect_chain_length,final_url_known_malicious,url_decoded_spoof_detected,url_reputation_score,ssl_validity_status,site_visual_similarity_to_known_brand,url_rendering_behavior_score,link_rewritten_through_redirector,token_validation_success,Analysis_of_the_qrcode_if_present,total_components_detected_malicious
W001,0.45,0.25,0,0.15,0,0,0,0.20,0,0,0,2,0,0.35,0.25,1,1,0,0,0.40,0,2,3,15.5,"[""winword.exe""]",0,0,0.30,0,1,0.35,0,0.25,0.30,0.20,0,2,0,0.70,0,0.30,1,invoice_verification,0.15,0,0,0,0,0.85,0,softfail,fail,fail,1,TLS 1.2,2,0,1,0,0,0.35,valid,0.15,0.20,0,1,0,0
W002,0.50,0.20,0,0.20,1,0,0,0.25,0,0,0,1,1,0.40,0.30,1,0,1,0,0.35,0,3,4,20.0,"[""cmd.exe""]",1,0,0.25,0,0,0.30,0,0.30,0.35,0.25,0,3,0,0.65,0,0.35,0,document_download,0.20,0,0,0,0,0.80,0,fail,none,fail,1,TLS 1.2,3,0,2,0,0,0.40,expired,0.20,0.25,0,1,0,1
W003,0.40,0.30,0,0.10,0,1,0,0.15,0,0,0,3,0,0.30,0.35,0,1,1,0,0.45,0,1,5,25.0,"[""powershell.exe""]",0,0,0.35,0,1,0.40,0,0.20,0.25,0.30,0,1,0,0.75,0,0.25,1,link_click,0.25,0,0,0,0,0.75,0,pass,fail,none,1,TLS 1.3,1,1,1,0,0,0.30,self_signed,0.25,0.30,0,1,0,0
W004,0.55,0.15,0,0.25,0,0,0,0.30,0,0,0,2,0,0.25,0.40,1,1,0,0,0.50,0,2,2,30.0,"[""excel.exe""]",0,0,0.20,1,0,0.25,0,0.35,0.40,0.15,0,2,0,0.80,0,0.40,0,wire_transfer,0.30,0,0,0,0,0.70,0,fail,fail,fail,1,TLS 1.1,2,0,0,0,0,0.45,valid,0.30,0.35,0,1,0,2
W005,0.35,0.35,0,0.05,0,0,0,0.10,0,0,0,1,0,0.45,0.20,0,0,1,0,0.30,0,3,6,10.0,"[]",1,0,0.40,0,0,0.45,0,0.15,0.20,0.35,0,4,0,0.60,0,0.20,1,bank_detail_update,0.35,0,0,0,0,0.65,0,softfail,pass,fail,1,TLS 1.2,4,0,3,0,0,0.50,expired,0.35,0.15,0,1,0,0
W006,0.48,0.22,0,0.18,0,0,0,0.22,0,0,0,2,1,0.38,0.28,1,0,0,0,0.42,0,2,4,18.0,"[""outlook.exe""]",0,0,0.28,0,1,0.32,0,0.28,0.32,0.22,0,3,0,0.68,0,0.32,0,meeting_request,0.18,0,0,0,0,0.78,0,fail,neutral,temperror,1,TLS 1.2,3,0,2,0,0,0.38,valid,0.18,0.22,0,1,0,1
W007,0.42,0.28,0,0.12,1,0,0,0.18,0,0,0,1,0,0.32,0.32,0,1,0,0,0.38,0,1,5,22.0,"[]",0,0,0.32,0,0,0.38,0,0.22,0.28,0.28,0,2,0,0.72,0,0.28,1,sensitive_data_request,0.22,0,0,0,0,0.72,0,pass,fail,fail,1,TLS 1.3,2,1,1,0,0,0.32,self_signed,0.22,0.28,0,1,0,0
W008,0.52,0.18,0,0.22,0,1,0,0.28,0,0,0,3,0,0.28,0.38,1,1,1,0,0.48,0,3,3,28.0,"[""chrome.exe""]",1,0,0.22,0,0,0.28,0,0.32,0.38,0.18,0,1,0,0.78,0,0.38,0,legal_threat,0.28,0,0,0,0,0.68,0,fail,none,fail,1,TLS 1.2,1,0,0,0,0,0.42,valid,0.28,0.32,0,1,0,2
W009,0.38,0.32,0,0.08,0,0,0,0.12,0,0,0,2,0,0.42,0.22,1,0,1,0,0.32,0,2,7,12.0,"[""winword.exe""]",0,0,0.38,1,0,0.42,0,0.18,0.22,0.32,0,3,0,0.62,0,0.22,1,vpn_or_mfa_reset,0.32,0,0,0,0,0.62,0,softfail,fail,none,1,TLS 1.2,3,0,2,0,0,0.48,expired,0.32,0.18,0,1,0,0
W010,0.46,0.26,0,0.16,0,0,0,0.24,0,0,0,1,1,0.36,0.26,0,1,0,0,0.44,0,1,4,16.0,"[]",0,0,0.26,0,1,0.34,0,0.26,0.34,0.24,0,2,0,0.66,0,0.34,0,credential_request,0.16,0,0,0,0,0.76,0,pass,none,temperror,1,TLS 1.3,2,0,1,0,0,0.36,valid,0.16,0.26,0,1,0,1
