Data,sender_known_malicios,sender_domain_reputation_score,sender_spoof_detected,sender_temp_email_likelihood,dmarc_enforced,packer_detected,any_file_hash_malicious,max_metadata_suspicious_score,malicious_attachment_count,has_executable_attachment,unscannable_attachment_present,total_yara_match_count,total_ioc_count,max_behavioral_sandbox_score,max_amsi_suspicion_score,any_macro_enabled_document,any_vbscript_javascript_detected,any_active_x_objects_detected,any_network_call_on_open,max_exfiltration_behavior_score,any_exploit_pattern_detected,total_embedded_file_count,max_suspicious_string_entropy_score,max_sandbox_execution_time,unique_parent_process_names,return_path_mismatch_with_from,return_path_known_malicious,return_path_reputation_score,reply_path_known_malicious,reply_path_diff_from_sender,reply_path_reputation_score,smtp_ip_known_malicious,smtp_ip_geo,smtp_ip_asn,smtp_ip_reputation_score,domain_known_malicious,url_Count,dns_morphing_detected,domain_tech_stack_match_score,is_high_risk_role_targeted,sender_name_similarity_to_vip,urgency_keywords_present,request_type,content_spam_score,user_marked_as_spam_before,bulk_message_indicator,unsubscribe_link_present,marketing_keywords_detected,html_text_ratio,image_only_email,spf_result,dkim_result,dmarc_result,reverse_dns_valid,tls_version,total_links_detected,url_shortener_detected,url_redirect_chain_length,final_url_known_malicious,url_decoded_spoof_detected,url_reputation_score,ssl_validity_status,site_visual_similarity_to_known_brand,url_rendering_behavior_score,link_rewritten_through_redirector,token_validation_success,Analysis_of_the_qrcode_if_present,total_components_detected_malicious
V001,0.58,0.12,0,0.28,0,0,0,0.32,0,0,0,1,0,0.22,0.42,0,1,1,0,0.52,0,2,1,32.0,"[""svchost.exe""]",0,0,0.18,0,0,0.22,0,0.38,0.42,0.12,0,3,0,0.82,0,0.42,1,document_download,0.32,0,0,0,0,0.58,0,none,fail,fail,1,TLS 1.0,3,0,1,0,0,0.48,valid,0.32,0.38,0,1,0,0
V002,0.34,0.38,0,0.04,1,0,0,0.08,0,0,0,2,1,0.48,0.18,1,0,0,0,0.28,0,1,9,6.0,"[""iexplore.exe""]",1,0,0.42,0,1,0.48,0,0.12,0.18,0.38,0,2,0,0.58,0,0.18,0,sensitive_data_request,0.38,0,0,0,0,0.48,0,pass,none,temperror,1,TLS 1.2,2,1,0,0,0,0.58,self_signed,0.38,0.12,0,1,0,1
V003,0.62,0.08,0,0.32,0,1,0,0.36,0,0,0,3,0,0.18,0.46,1,1,1,0,0.56,0,3,2,36.0,"[]",0,0,0.14,1,0,0.18,0,0.42,0.46,0.08,0,1,0,0.86,0,0.46,0,wire_transfer,0.36,0,0,0,0,0.54,0,fail,neutral,none,1,TLS 1.3,1,0,2,0,0,0.44,expired,0.36,0.42,0,1,0,2
V004,0.30,0.42,0,0.0,1,0,0,0.04,0,0,0,1,0,0.52,0.14,0,0,1,0,0.24,0,2,10,2.0,"[""notepad.exe""]",0,0,0.46,0,0,0.52,0,0.08,0.14,0.42,0,4,0,0.54,0,0.14,1,bank_detail_update,0.42,0,0,0,0,0.44,0,softfail,pass,fail,1,TLS 1.2,4,0,3,0,0,0.62,valid,0.42,0.08,0,1,0,0
V005,0.66,0.04,0,0.36,0,0,0,0.40,0,0,0,2,1,0.14,0.50,1,0,0,0,0.60,0,1,3,40.0,"[""java.exe""]",1,0,0.10,0,1,0.14,0,0.46,0.50,0.04,0,3,0,0.90,0,0.50,0,legal_threat,0.40,0,0,0,0,0.50,0,pass,fail,temperror,1,TLS 1.1,3,1,1,0,0,0.40,self_signed,0.40,0.46,0,1,0,1
V006,0.26,0.46,0,0.0,0,1,0,0.0,0,0,0,3,0,0.56,0.10,1,1,1,0,0.20,0,3,11,0.0,"[]",0,0,0.50,1,0,0.56,0,0.04,0.10,0.46,0,2,0,0.50,0,0.10,1,meeting_request,0.46,0,0,0,0,0.40,0,fail,none,fail,1,TLS 1.2,2,0,0,0,0,0.66,expired,0.46,0.04,0,1,0,3
V007,0.70,0.0,0,0.40,0,0,0,0.44,0,0,0,1,0,0.10,0.54,0,1,0,0,0.64,0,2,4,44.0,"[""msiexec.exe""]",0,0,0.06,0,0,0.10,0,0.50,0.54,0.0,0,1,0,0.94,0,0.54,0,vpn_or_mfa_reset,0.44,0,0,0,0,0.46,0,none,neutral,none,1,TLS 1.3,1,0,3,0,0,0.36,valid,0.44,0.50,0,1,0,0
V008,0.22,0.50,0,0.0,1,0,0,0.0,0,0,0,2,1,0.60,0.06,1,0,1,0,0.16,0,1,12,0.0,"[""wuauclt.exe""]",1,0,0.54,0,1,0.60,0,0.0,0.06,0.50,0,4,0,0.46,0,0.06,1,credential_request,0.50,0,0,0,0,0.36,0,pass,fail,temperror,1,TLS 1.2,4,1,2,0,0,0.70,self_signed,0.50,0.0,0,1,0,2
V009,0.74,0.0,0,0.44,0,1,0,0.48,0,0,0,3,0,0.06,0.58,1,1,0,0,0.68,0,3,5,48.0,"[""regsvr32.exe""]",0,0,0.02,1,0,0.06,0,0.54,0.58,0.0,0,2,0,0.98,0,0.58,0,invoice_payment,0.48,0,0,0,0,0.42,0,fail,pass,fail,1,TLS 1.1,2,0,1,0,0,0.32,expired,0.48,0.54,0,1,0,1
V010,0.18,0.54,0,0.0,0,0,0,0.0,0,0,0,1,0,0.64,0.02,0,0,1,0,0.12,0,2,13,0.0,"[]",0,0,0.58,0,0,0.64,0,0.0,0.02,0.54,0,3,0,0.42,0,0.02,0,gift_card_request,0.54,0,0,0,0,0.32,0,softfail,none,none,1,TLS 1.2,3,0,0,0,0,0.74,valid,0.54,0.0,0,1,0,0
